episode,reward,running,wr100
1,-21,-21.0000,0.00
2,-21,-21.0000,0.00
3,-20,-20.9900,0.00
4,-21,-20.9901,0.00
5,-21,-20.9902,0.00
6,-21,-20.9903,0.00
7,-19,-20.9704,0.00
8,-21,-20.9707,0.00
9,-21,-20.9710,0.00
10,-21,-20.9713,0.00
11,-21,-20.9716,0.00
12,-18,-20.9418,0.00
13,-21,-20.9424,0.00
14,-21,-20.9430,0.00
15,-21,-20.9436,0.00
16,-20,-20.9341,0.00
17,-21,-20.9348,0.00
18,-21,-20.9354,0.00
19,-20,-20.9261,0.00
20,-20,-20.9168,0.00
21,-18,-20.8877,0.00
22,-18,-20.8588,0.00
23,-20,-20.8502,0.00
24,-21,-20.8517,0.00
25,-19,-20.8332,0.00
26,-21,-20.8348,0.00
27,-21,-20.8365,0.00
28,-20,-20.8281,0.00
29,-21,-20.8299,0.00
30,-21,-20.8316,0.00
31,-21,-20.8332,0.00
32,-21,-20.8349,0.00
33,-20,-20.8266,0.00
34,-20,-20.8183,0.00
35,-20,-20.8101,0.00
36,-20,-20.8020,0.00
37,-21,-20.8040,0.00
38,-21,-20.8059,0.00
39,-21,-20.8079,0.00
40,-21,-20.8098,0.00
41,-21,-20.8117,0.00
42,-21,-20.8136,0.00
43,-21,-20.8155,0.00
44,-19,-20.7973,0.00
45,-20,-20.7893,0.00
46,-21,-20.7914,0.00
47,-19,-20.7735,0.00
48,-21,-20.7758,0.00
49,-19,-20.7580,0.00
50,-21,-20.7605,0.00
51,-20,-20.7528,0.00
52,-21,-20.7553,0.00
53,-21,-20.7578,0.00
54,-18,-20.7302,0.00
55,-21,-20.7329,0.00
56,-21,-20.7356,0.00
57,-17,-20.6982,0.00
58,-21,-20.7012,0.00
59,-21,-20.7042,0.00
60,-20,-20.6972,0.00
61,-21,-20.7002,0.00
62,-20,-20.6932,0.00
63,-21,-20.6963,0.00
64,-19,-20.6793,0.00
65,-19,-20.6625,0.00
66,-20,-20.6559,0.00
67,-21,-20.6593,0.00
68,-21,-20.6627,0.00
69,-21,-20.6661,0.00
70,-19,-20.6494,0.00
71,-21,-20.6529,0.00
72,-21,-20.6564,0.00
73,-21,-20.6598,0.00
74,-21,-20.6633,0.00
75,-20,-20.6566,0.00
76,-19,-20.6401,0.00
77,-21,-20.6437,0.00
78,-21,-20.6472,0.00
79,-20,-20.6407,0.00
80,-21,-20.6443,0.00
81,-18,-20.6179,0.00
82,-20,-20.6117,0.00
83,-20,-20.6056,0.00
84,-19,-20.5895,0.00
85,-19,-20.5736,0.00
86,-19,-20.5579,0.00
87,-20,-20.5523,0.00
88,-19,-20.5368,0.00
89,-21,-20.5414,0.00
90,-21,-20.5460,0.00
91,-19,-20.5306,0.00
92,-21,-20.5353,0.00
93,-21,-20.5399,0.00
94,-20,-20.5345,0.00
95,-21,-20.5392,0.00
96,-16,-20.4938,0.00
97,-21,-20.4988,0.00
98,-19,-20.4838,0.00
99,-20,-20.4790,0.00
100,-21,-20.4842,0.00
101,-18,-20.4594,0.00
102,-21,-20.4648,0.00
103,-20,-20.4601,0.00
104,-20,-20.4555,0.00
105,-19,-20.4410,0.00
106,-20,-20.4366,0.00
107,-20,-20.4322,0.00
108,-19,-20.4179,0.00
109,-20,-20.4137,0.00
110,-21,-20.4196,0.00
111,-20,-20.4154,0.00
112,-21,-20.4212,0.00
113,-21,-20.4270,0.00
114,-19,-20.4127,0.00
115,-18,-20.3886,0.00
116,-19,-20.3747,0.00
117,-21,-20.3810,0.00
118,-19,-20.3672,0.00
119,-18,-20.3435,0.00
120,-19,-20.3301,0.00
121,-21,-20.3368,0.00
122,-21,-20.3434,0.00
123,-19,-20.3300,0.00
124,-21,-20.3367,0.00
125,-20,-20.3333,0.00
