fresh PolicyNet
training on ALE/Pong-v5 (RIGHT paddle) | lr=0.001 | best-by-WIN-RATE | Ctrl-C to stop

ep     1 | reward -21 | running -21.00 | wr100   0.0% (0/1)
ep     2 | reward -21 | running -21.00 | wr100   0.0% (0/2)
ep     3 | reward -20 | running -20.99 | wr100   0.0% (0/3)
ep     4 | reward -21 | running -20.99 | wr100   0.0% (0/4)
ep     5 | reward -21 | running -20.99 | wr100   0.0% (0/5)
ep     6 | reward -21 | running -20.99 | wr100   0.0% (0/6)
ep     7 | reward -19 | running -20.97 | wr100   0.0% (0/7)
ep     8 | reward -21 | running -20.97 | wr100   0.0% (0/8)
ep     9 | reward -21 | running -20.97 | wr100   0.0% (0/9)
ep    10 | reward -21 | running -20.97 | wr100   0.0% (0/10)
ep    11 | reward -21 | running -20.97 | wr100   0.0% (0/11)
ep    12 | reward -18 | running -20.94 | wr100   0.0% (0/12)
ep    13 | reward -21 | running -20.94 | wr100   0.0% (0/13)
ep    14 | reward -21 | running -20.94 | wr100   0.0% (0/14)
ep    15 | reward -21 | running -20.94 | wr100   0.0% (0/15)
ep    16 | reward -20 | running -20.93 | wr100   0.0% (0/16)
ep    17 | reward -21 | running -20.93 | wr100   0.0% (0/17)
ep    18 | reward -21 | running -20.94 | wr100   0.0% (0/18)
ep    19 | reward -20 | running -20.93 | wr100   0.0% (0/19)
ep    20 | reward -20 | running -20.92 | wr100   0.0% (0/20)
ep    21 | reward -18 | running -20.89 | wr100   0.0% (0/21)
ep    22 | reward -18 | running -20.86 | wr100   0.0% (0/22)
ep    23 | reward -20 | running -20.85 | wr100   0.0% (0/23)
ep    24 | reward -21 | running -20.85 | wr100   0.0% (0/24)
ep    25 | reward -19 | running -20.83 | wr100   0.0% (0/25)
ep    26 | reward -21 | running -20.83 | wr100   0.0% (0/26)
ep    27 | reward -21 | running -20.84 | wr100   0.0% (0/27)
ep    28 | reward -20 | running -20.83 | wr100   0.0% (0/28)
ep    29 | reward -21 | running -20.83 | wr100   0.0% (0/29)
ep    30 | reward -21 | running -20.83 | wr100   0.0% (0/30)
ep    31 | reward -21 | running -20.83 | wr100   0.0% (0/31)
ep    32 | reward -21 | running -20.83 | wr100   0.0% (0/32)
ep    33 | reward -20 | running -20.83 | wr100   0.0% (0/33)
ep    34 | reward -20 | running -20.82 | wr100   0.0% (0/34)
ep    35 | reward -20 | running -20.81 | wr100   0.0% (0/35)
ep    36 | reward -20 | running -20.80 | wr100   0.0% (0/36)
ep    37 | reward -21 | running -20.80 | wr100   0.0% (0/37)
ep    38 | reward -21 | running -20.81 | wr100   0.0% (0/38)
ep    39 | reward -21 | running -20.81 | wr100   0.0% (0/39)
ep    40 | reward -21 | running -20.81 | wr100   0.0% (0/40)
ep    41 | reward -21 | running -20.81 | wr100   0.0% (0/41)
ep    42 | reward -21 | running -20.81 | wr100   0.0% (0/42)
ep    43 | reward -21 | running -20.82 | wr100   0.0% (0/43)
ep    44 | reward -19 | running -20.80 | wr100   0.0% (0/44)
ep    45 | reward -20 | running -20.79 | wr100   0.0% (0/45)
ep    46 | reward -21 | running -20.79 | wr100   0.0% (0/46)
ep    47 | reward -19 | running -20.77 | wr100   0.0% (0/47)
ep    48 | reward -21 | running -20.78 | wr100   0.0% (0/48)
ep    49 | reward -19 | running -20.76 | wr100   0.0% (0/49)
ep    50 | reward -21 | running -20.76 | wr100   0.0% (0/50)
ep    51 | reward -20 | running -20.75 | wr100   0.0% (0/51)
ep    52 | reward -21 | running -20.76 | wr100   0.0% (0/52)
ep    53 | reward -21 | running -20.76 | wr100   0.0% (0/53)
ep    54 | reward -18 | running -20.73 | wr100   0.0% (0/54)
ep    55 | reward -21 | running -20.73 | wr100   0.0% (0/55)
ep    56 | reward -21 | running -20.74 | wr100   0.0% (0/56)
ep    57 | reward -17 | running -20.70 | wr100   0.0% (0/57)
ep    58 | reward -21 | running -20.70 | wr100   0.0% (0/58)
ep    59 | reward -21 | running -20.70 | wr100   0.0% (0/59)
ep    60 | reward -20 | running -20.70 | wr100   0.0% (0/60)
ep    61 | reward -21 | running -20.70 | wr100   0.0% (0/61)
ep    62 | reward -20 | running -20.69 | wr100   0.0% (0/62)
ep    63 | reward -21 | running -20.70 | wr100   0.0% (0/63)
ep    64 | reward -19 | running -20.68 | wr100   0.0% (0/64)
ep    65 | reward -19 | running -20.66 | wr100   0.0% (0/65)
